Year,Month,Day,Hour,Minute,GHI
2018,1,1,0,30,25
2018,1,1,1,30,0
2018,1,1,2,30,0
2018,1,1,3,30,0
2018,1,1,4,30,0
2018,1,1,5,30,0
2018,1,1,6,30,0
2018,1,1,7,30,0
2018,1,1,8,30,0
2018,1,1,9,30,0
2018,1,1,10,30,0
2018,1,1,11,30,0
2018,1,1,12,30,0
2018,1,1,13,30,0
2018,1,1,14,30,0
2018,1,1,15,30,9
2018,1,1,16,30,102
2018,1,1,17,30,207
2018,1,1,18,30,329
2018,1,1,19,30,403
2018,1,1,20,30,441
2018,1,1,21,30,411
2018,1,1,22,30,294
2018,1,1,23,30,162
2018,1,2,0,30,34
2018,1,2,1,30,0
2018,1,2,2,30,0
2018,1,2,3,30,0
2018,1,2,4,30,0
2018,1,2,5,30,0
2018,1,2,6,30,0
2018,1,2,7,30,0
2018,1,2,8,30,0
2018,1,2,9,30,0
2018,1,2,10,30,0
2018,1,2,11,30,0
2018,1,2,12,30,0
2018,1,2,13,30,0
2018,1,2,14,30,0
2018,1,2,15,30,6
2018,1,2,16,30,66
2018,1,2,17,30,131
2018,1,2,18,30,272
2018,1,2,19,30,276
2018,1,2,20,30,173
2018,1,2,21,30,140
2018,1,2,22,30,98
2018,1,2,23,30,122
2018,1,3,0,30,32
2018,1,3,1,30,0
2018,1,3,2,30,0
2018,1,3,3,30,0
2018,1,3,4,30,0
2018,1,3,5,30,0
2018,1,3,6,30,0
2018,1,3,7,30,0
2018,1,3,8,30,0
2018,1,3,9,30,0
2018,1,3,10,30,0
2018,1,3,11,30,0
2018,1,3,12,30,0
2018,1,3,13,30,0
2018,1,3,14,30,0
2018,1,3,15,30,8
2018,1,3,16,30,102
2018,1,3,17,30,128
2018,1,3,18,30,160
2018,1,3,19,30,80
2018,1,3,20,30,37
2018,1,3,21,30,34
2018,1,3,22,30,41
2018,1,3,23,30,30
2018,1,4,0,30,19
2018,1,4,1,30,0
2018,1,4,2,30,0
2018,1,4,3,30,0
2018,1,4,4,30,0
2018,1,4,5,30,0
2018,1,4,6,30,0
2018,1,4,7,30,0
2018,1,4,8,30,0
2018,1,4,9,30,0
2018,1,4,10,30,0
2018,1,4,11,30,0
2018,1,4,12,30,0
2018,1,4,13,30,0
2018,1,4,14,30,0
2018,1,4,15,30,5
2018,1,4,16,30,114
2018,1,4,17,30,210
2018,1,4,18,30,318
2018,1,4,19,30,489
2018,1,4,20,30,491
2018,1,4,21,30,438
2018,1,4,22,30,295
2018,1,4,23,30,201
2018,1,5,0,30,48
2018,1,5,1,30,0
